/blb X,/blb Y,/q X,/q Y,/qb X,/qb Y
0.7229999999999999,0.7229999999999999,0.7229999999999999,0.4598362781946928,0.7229999999999999,0.4672431077085217
0.7219999999999999,0.7219999999999999,0.7219999999999999,0.4598066425236282,0.7219999999999999,0.4672585816785618
0.7209999999999999,0.7209999999999999,0.7209999999999999,0.4597769361278286,0.7209999999999999,0.4672740948384534
0.7199999999999999,0.7199999999999999,0.7199999999999999,0.4597471571604317,0.7199999999999999,0.4672896481690789
0.7189999999999999,0.7189999999999999,0.7189999999999999,0.4597173037252265,0.7189999999999999,0.4673052426777049
0.7179999999999999,0.7179999999999999,0.7179999999999999,0.4596873738751935,0.7179999999999999,0.4673208793987686
0.7169999999999999,0.7169999999999999,0.7169999999999999,0.4596573656110002,0.7169999999999999,0.467336559394687
0.7159999999999999,0.7159999999999999,0.7159999999999999,0.4596272768794478,0.7159999999999999,0.4673522837566921
0.7149999999999999,0.7149999999999999,0.7149999999999999,0.4595971055718696,0.7149999999999999,0.4673680536056941
0.7139999999999999,0.7139999999999999,0.7139999999999999,0.4595668495224748,0.7139999999999999,0.4673838700931718
0.7129999999999999,0.7129999999999999,0.7129999999999999,0.459536506506641,0.7129999999999999,0.4673997344020937
0.7119999999999999,0.7119999999999999,0.7119999999999999,0.4595060742391513,0.7119999999999999,0.4674156477478664
0.7109999999999999,0.7109999999999999,0.7109999999999999,0.4594755503723717,0.7109999999999999,0.4674316113793175
0.7099999999999999,0.7099999999999999,0.7099999999999999,0.459444932494375,0.7099999999999999,0.4674476265797061
0.7089999999999999,0.7089999999999999,0.7089999999999999,0.4594142181269957,0.7089999999999999,0.4674636946677721
0.7079999999999999,0.7079999999999999,0.7079999999999999,0.4593834047238288,0.7079999999999999,0.4674798169988162
0.7069999999999999,0.7069999999999999,0.7069999999999999,0.4593524896681597,0.7069999999999999,0.4674959949658133
0.7059999999999998,0.7059999999999998,0.7059999999999998,0.4593214702708276,0.7059999999999998,0.4675122300005702
0.7049999999999998,0.7049999999999998,0.7049999999999998,0.4592903437680175,0.7049999999999998,0.4675285235749131
0.7039999999999998,0.7039999999999998,0.7039999999999998,0.4592591073189821,0.7039999999999998,0.4675448772019206
0.7029999999999998,0.7029999999999998,0.7029999999999998,0.4592277580036863,0.7029999999999998,0.4675612924371947
0.7019999999999998,0.7019999999999998,0.7019999999999998,0.4591962928203796,0.7019999999999998,0.4675777708801714
0.7009999999999998,0.7009999999999998,0.7009999999999998,0.4591647086830803,0.7009999999999998,0.4675943141754827
0.6999999999999998,0.6999999999999998,0.6999999999999998,0.4591330024189856,0.6999999999999998,0.4676109240143545
0.6989999999999998,0.6989999999999998,0.6989999999999998,0.4591011707657893,0.6989999999999998,0.4676276021360589
0.6979999999999998,0.6979999999999998,0.6979999999999998,0.4590692103689169,0.6979999999999998,0.4676443503294086
0.6969999999999998,0.6969999999999998,0.6969999999999998,0.459037117778665,0.6969999999999998,0.4676611704343058
