nfin_pu,nfin_pd,nfin_acc,vdd,temp,hsnm_mv,rsnm_mv,wsnm_mv,read_type_x,read0_q_node_disturb_mv,read0_qb_node_disturb_mv,read0_high_node_drop_mv,read0_wl_to_q_node_disturb_peak_ps,read0_wl_to_qb_node_disturb_peak_ps,read0_average_read_current_ua,read0_peak_read_current_ua,read0_read_power_uw,read0_read_energy_fj,read0_read_success,read_type_y,read1_q_node_disturb_mv,read1_qb_node_disturb_mv,read1_high_node_drop_mv,read1_wl_to_q_node_disturb_peak_ps,read1_wl_to_qb_node_disturb_peak_ps,read1_average_read_current_ua,read1_peak_read_current_ua,read1_read_power_uw,read1_read_energy_fj,read1_read_success,write0_cell_write_delay_ps,write0_q_node_voltage_excursion_mv,write0_qb_node_voltage_excursion_mv,write0_average_write_current_ua,write0_peak_write_current_ua,write0_write_power_uw,write0_write_energy_fj,write0_write_success,write_type_x,write1_cell_write_delay_ps,write1_q_node_voltage_excursion_mv,write1_qb_node_voltage_excursion_mv,write1_average_write_current_ua,write1_peak_write_current_ua,write1_write_power_uw,write1_write_energy_fj,write1_write_success,write_type_y,worst_write_delay_ps,worst_write_power_uw,worst_write_energy_fj,hold_type_x,hold0_hold_high_node_drop_mv,hold0_hold_low_node_disturb_mv,hold0_hold_leakage_current_na,hold0_hold_power_uw,hold0_hold_energy_fj,hold0_hold_success,hold_type_y,hold1_hold_high_node_drop_mv,hold1_hold_low_node_disturb_mv,hold1_hold_leakage_current_na,hold1_hold_power_uw,hold1_hold_energy_fj,hold1_hold_success
1,1,3,1.0,27,312.11,28.84,,read_0,361.004,52.8274,52.8274,3806.52,400.664,0.0475122,4.89105,0.0475122,0.475122,1.0,read_1,52.8274,361.004,52.8274,400.664,3806.52,0.0475122,4.89105,0.0475122,0.475122,1.0,120.532,999.834,999.84,0.0692866999999999,15.3819,0.0692866999999999,0.692867,1.0,write_0,49.415,999.859,999.992,0.0769182,24.9002,0.0769182,0.7691819999999999,1.0,write_1,120.532,0.0769182,0.7691819999999999,hold_0,12.2808,0.309813,27.6727,0.0276727,0.276727,1.0,hold_1,12.2643,0.314542,28.0136,0.0280136,0.280136,1.0
1,1,3,1.1,27,341.83,38.4,1100.0,read_0,413.865,74.4838,74.4838,594.137,3373.15,0.0528041,5.39133,0.0580845,0.580845,1.0,read_1,74.4838,413.865,74.4838,3373.15,594.137,0.0528041,5.39133,0.0580845,0.580845,1.0,118.173,1099.81,1099.82,0.0819394,17.9312,0.0901333,0.901333,1.0,write_0,47.3308,1099.83,1099.99,0.0900794999999999,30.018,0.0990873999999999,0.990874,1.0,write_1,118.173,0.0990873999999999,0.990874,hold_0,12.6547,0.476725,33.1869,0.0365056,0.365056,1.0,hold_1,12.7005,0.365948,32.8492,0.0361341,0.361341,1.0
1,1,3,1.2,27,371.06,50.66,1200.0,read_0,471.158,104.967,104.967,3596.28,796.281,0.0586698,5.88626,0.0704038,0.704038,1.0,read_1,104.967,471.158,104.967,796.281,3596.28,0.0586698,5.88626,0.0704038,0.704038,1.0,116.143,1199.77,1199.78,0.095962,20.7988,0.1151539999999999,1.15154,1.0,write_0,45.6227,1199.8,1199.98,0.104378,34.9103,0.125253,1.25253,1.0,write_1,116.143,0.125253,1.25253,hold_0,13.2359,0.588368,39.2525,0.047103,0.47103,1.0,hold_1,13.1806,0.595013,39.3992,0.0472791,0.472791,1.0
1,1,3,1.3,27,399.83,63.34,1300.0,read_0,541.825,167.567,167.567,1761.3,1361.3,0.0640312,6.37798,0.0832406,0.832406,1.0,read_1,167.567,541.825,167.567,1361.3,1761.3,0.0640312,6.37798,0.0832406,0.832406,1.0,114.424,1299.73,1299.73,0.111814,24.1315,0.145359,1.45359,1.0,write_0,44.0008,1299.77,1299.98,0.119769,40.5085,0.155699,1.55699,1.0,write_1,114.424,0.155699,1.55699,hold_0,13.8169,0.820034,46.6331,0.0606231,0.606231,1.0,hold_1,13.8357,0.764046,46.7958,0.0608345,0.608345,1.0
1,1,4,0.6,27,186.45,16.93,382.96,read_0,207.37,18.5196,18.5196,1849.89,708.768,0.0337909,3.5099,0.0202746,0.202746,1.0,read_1,18.5196,207.37,18.5196,708.768,1849.89,0.0337909,3.5099,0.0202746,0.202746,1.0,131.005,599.8919999999999,599.896,0.0284617,6.1458900000000005,0.017077,0.17077,1.0,write_0,62.6292,599.905,599.997,0.0338284,8.63267,0.0202971,0.202971,1.0,write_1,131.005,0.0202971,0.202971,hold_0,17.5794,0.34652,13.7309,0.00823853,0.0823853,1.0,hold_1,17.5875,0.389001,13.7923,0.00827541,0.0827541,1.0
1,1,4,0.7,27,218.96,17.77,700.0,read_0,256.268,31.8198,31.8198,616.33,616.33,0.0396589,4.10491,0.0277612,0.277612,1.0,read_1,31.8198,256.268,31.8198,616.33,616.33,0.0396589,4.10491,0.0277612,0.277612,1.0,126.245,699.885,699.8910000000001,0.0353079,8.21636,0.0247155,0.247155,1.0,write_0,55.9939,699.9,699.9960000000001,0.0419046999999999,11.6817,0.0293332999999999,0.293333,1.0,write_1,126.245,0.0293332999999999,0.293333,hold_0,15.8733,0.351728,17.2701,0.0120891,0.120891,1.0,hold_1,15.883,0.351985,17.4061,0.0121843,0.121843,1.0
1,1,4,0.8,27,250.7,26.38,800.0,read_0,310.356,53.9357,53.9357,2806.98,806.985,0.0449472,4.69646,0.0359578,0.359578,1.0,read_1,53.9357,310.356,53.9357,806.985,2806.98,0.0449472,4.69646,0.0359578,0.359578,1.0,122.302,799.873,799.883,0.0431892,9.98409,0.0345514,0.345514,1.0,write_0,51.7789,799.89,799.9939999999999,0.0513294999999999,15.206,0.0410636,0.4106359999999999,1.0,write_1,122.302,0.0410636,0.4106359999999999,hold_0,14.9929,0.294973,20.8872,0.0167098,0.167098,1.0,hold_1,14.9569,0.302987,21.2435,0.0169948,0.169948,1.0
1,1,4,0.9,27,281.71,39.27,900.0,read_0,377.244,107.218,107.218,3668.08,4068.08,0.051872,5.30729,0.0466848,0.466848,1.0,read_1,107.218,377.244,107.218,4068.08,3668.08,0.051872,5.30729,0.0466848,0.466848,1.0,119.213,899.855,899.862,0.0526035,11.9323,0.0473431999999999,0.4734319999999999,1.0,write_0,48.5715,899.88,899.993,0.0624728,20.0608,0.0562255,0.5622550000000001,1.0,write_1,119.213,0.0562255,0.5622550000000001,hold_0,14.6804,0.232233,25.4457,0.0229011,0.229011,1.0,hold_1,14.7912,0.678755,25.2411,0.022717,0.22717,1.0
1,1,4,1.0,27,312.05,54.55,,read_0,577.984,422.076,422.076,3098.91,1131.94,0.0599818,5.91696,0.0599818,0.599818,0.0,read_1,422.076,577.984,422.076,1131.94,3098.91,0.0599818,5.91696,0.0599818,0.599818,0.0,116.516,999.83,999.842,0.0631357,14.0336,0.0631357,0.631357,1.0,write_0,46.0767,999.861,999.992,0.0729503999999999,24.5428,0.0729503999999999,0.729504,1.0,write_1,116.516,0.0729503999999999,0.729504,hold_0,14.8861,0.295849,30.3462,0.0303462,0.303462,1.0,hold_1,14.8461,0.31135,30.1515,0.0301515,0.301515,1.0
1,1,4,1.1,27,341.77,74.29,,read_0,642.27,457.757,457.757,3036.89,613.481,0.0656824,6.52013,0.0722507,0.722507,0.0,read_1,457.757,642.27,457.757,613.481,3036.89,0.0656824,6.52013,0.0722507,0.722507,0.0,114.165,1099.8,1099.82,0.0753298999999999,16.3045,0.0828628999999999,0.8286290000000001,1.0,write_0,44.0323,1099.83,1099.99,0.0857309,29.6024,0.094304,0.94304,1.0,write_1,114.165,0.094304,0.94304,hold_0,15.2808,0.362054,36.2265,0.0398492,0.398492,1.0,hold_1,15.3219,0.351024,36.2383,0.0398621,0.398621,1.0
